,Born,Died,Title Year,Population,Latitude,Longitude,Birthplace,region,name
18724,1921,2010,1950,10381288.0,55.752222,37.615556,Moscow,,
18747,1973,,1995,10381288.0,55.752222,37.615556,Moscow,,
18770,1933,2018,1961,10381288.0,55.752222,37.615556,Moscow,,
18793,1998,,2018,10381288.0,55.752222,37.615556,Moscow,,
18816,1960,2000,1989,10381288.0,55.752222,37.615556,Moscow,,
18839,1963,,1994,10381288.0,55.752222,37.615556,Moscow,,
18862,1976,,1994,10381288.0,55.752222,37.615556,Moscow,,
18885,1995,,2013,,-11.266666699999998,-68.0333333,Murcia,,
18949,1985,,2013,,-11.266666699999998,-68.0333333,Murcia,,
19013,1962,,1994,517798.0,38.716667,-9.133333,Lisbon,,
19032,1970,,1995,20301.0,48.695029,2.307355,Longjumeau,,
19033,1971,,2008,43539.0,49.2,7.6,Pirmasens,,
19034,1925,2006,1954,43539.0,49.2,7.6,Pirmasens,,
19035,1968,,2009,15517.0,42.6966667,41.4783333,Ochamchira,,
19036,1951,2017,1986,,-6.691,111.5622,Banjarmasin,,
19039,1967,,1990,,4.506587000000001,-75.986149,Holguín,,
19045,1982,,1999,,4.506587000000001,-75.986149,Holguín,,
19051,1987,,2016,,4.506587000000001,-75.986149,Holguín,,
19057,1978,,2008,,4.506587000000001,-75.986149,Holguín,,
19063,1986,,2002,,48.567046000000005,39.31706,Luhansk,,
19064,1991,,2013,,48.567046000000005,39.31706,Luhansk,,
19065,1974,,2005,,48.567046000000005,39.31706,Luhansk,,
19066,1962,,1990,,48.567046000000005,39.31706,Luhansk,,
19067,1961,,1995,984336.0,52.466667,-1.916667,Birmingham,,
19082,1960,,1986,113907.0,64.15,-21.95,Reykjavík,,
19083,1993,,2013,113907.0,64.15,-21.95,Reykjavík,,
19084,1963,,1985,113907.0,64.15,-21.95,Reykjavík,,
19085,1982,2018,2011,113907.0,64.15,-21.95,Reykjavík,,
19086,1935,,1958,113907.0,64.15,-21.95,Reykjavík,,
19087,1956,,1985,113907.0,64.15,-21.95,Reykjavík,,
19088,1960,,1986,113907.0,64.15,-21.95,Reykjavík,,
19089,1947,,1975,113907.0,64.15,-21.95,Reykjavík,,
19090,1975,,2007,113907.0,64.15,-21.95,Reykjavík,,
19091,1981,,2018,113907.0,64.15,-21.95,Reykjavík,,
19092,1986,,2013,332088.0,42.15,24.75,Plovdiv,,
19093,1931,2000,1961,332088.0,42.15,24.75,Plovdiv,,
19094,1970,,2002,332088.0,42.15,24.75,Plovdiv,,
19095,1933,,1964,332088.0,42.15,24.75,Plovdiv,,
19096,1964,,1998,332088.0,42.15,24.75,Plovdiv,,
19097,1972,2013,2004,332088.0,42.15,24.75,Plovdiv,,
19098,1937,2000,1963,332088.0,42.15,24.75,Plovdiv,,
19099,1985,,2006,1049516.0,41.725,44.7908333,Tbilisi,,
19100,1984,,2006,1049516.0,41.725,44.7908333,Tbilisi,,
19101,1980,,2009,1049516.0,41.725,44.7908333,Tbilisi,,
19102,1960,,1988,1049516.0,41.725,44.7908333,Tbilisi,,
19103,1988,,2004,1049516.0,41.725,44.7908333,Tbilisi,,
19104,1979,,2009,1049516.0,41.725,44.7908333,Tbilisi,,
19105,1944,,1977,1049516.0,41.725,44.7908333,Tbilisi,,
19106,1960,,1992,1049516.0,41.725,44.7908333,Tbilisi,,
19107,1985,,2002,1049516.0,41.725,44.7908333,Tbilisi,,
19108,1947,,1977,1049516.0,41.725,44.7908333,Tbilisi,,
19109,1970,,1994,1049516.0,41.725,44.7908333,Tbilisi,,
19110,1990,,2010,1049516.0,41.725,44.7908333,Tbilisi,,
19111,1978,,1997,1049516.0,41.725,44.7908333,Tbilisi,,
19112,1986,,2005,1049516.0,41.725,44.7908333,Tbilisi,,
19114,1989,,2008,1049516.0,41.725,44.7908333,Tbilisi,,
