,game_id,move_no,move_no_pair,player,notation,move,from_square,to_square,piece,color,fen,is_check,is_check_mate,is_fifty_moves,is_fivefold_repetition,is_game_over,is_insufficient_material,white_count,black_count,white_pawn_count,black_pawn_count,white_queen_count,black_queen_count,white_black_count,black_bishop_count,white_knight_count,black_knight_count,white_rook_count,black_rook_count,captured_score_for_white,captured_score_for_black,fen_row1_white_count,fen_row2_white_count,fen_row3_white_count,fen_row4_white_count,fen_row5_white_count,fen_row6_white_count,fen_row7_white_count,fen_row8_white_count,fen_row1_white_value,fen_row2_white_value,fen_row3_white_value,fen_row4_white_value,fen_row5_white_value,fen_row6_white_value,fen_row7_white_value,fen_row8_white_value,fen_row1_black_count,fen_row2_black_count,fen_row3_black_count,fen_row4_black_count,fen_row5_black_count,fen_row6_black_count,fen_row7_black_count,fen_row8_black_count,fen_row1_black_value,fen_row2_black_value,fen_row3_black_value,fen_row4_black_value,fen_row5_black_value,fen_row6_black_value,fen_row7_black_value,fen_row8_black_value,move_sequence
98,1eb61291-37ee-496b-8b7d-d81bc178c723,86,43,Quednau,Qf1+,c4f1,c4,f1,Q,Black,5r1k/7P/8/p7/3p1BQ1/P7/6PP/3K1q2,1,0,0,0,0,0,7,5,4,2,1,1,1,0,0,0,0,1,23,23,1,2,1,2,0,0,1,0,0,2,1,12,0,0,1,0,1,0,0,1,1,0,0,2,9,0,0,1,1,0,0,5,"b3,e6"
99,1ed320e3-6040-4f93-a342-7c022e2eb63b,77,39,"Judd, Max",Bxh7,e4h7,e4,h7,B,White,8/7B/8/2b3k1/P4nP1/8/7P/5K2,0,0,0,0,0,0,5,3,3,0,0,0,1,1,0,1,0,0,33,33,1,1,0,2,0,0,1,0,0,1,0,2,0,0,3,0,0,0,0,1,2,0,0,0,0,0,0,3,3,0,0,0,"e4,e5"
100,1ee4f6e7-d68c-4689-a3ed-d5f08691339a,43,22,Goring,Qxg2#,g3g2,g3,g2,Q,White,rnb5/pppp3p/4p1p1/8/3P1P2/5B2/PPPK2Q1/6k1,1,1,0,0,1,0,8,11,5,7,1,0,1,1,0,1,0,1,21,22,0,5,1,2,0,0,0,0,0,12,3,2,0,0,0,0,1,0,0,0,0,2,5,3,0,0,0,0,0,2,5,11,"d4,f5"
101,1ee895e2-95c2-4864-bc58-0ed2c2f546de,48,24,Mocatta,h6,h7h6,h7,h6,P,Black,r5k1/5pp1/pR5p/4r3/8/2N4P/PPb3P1/R6K,0,0,0,0,0,0,8,8,4,4,0,0,0,1,1,0,2,2,22,22,2,3,2,0,0,1,0,0,5,3,4,0,0,5,0,0,0,1,0,0,1,2,2,2,0,3,0,0,5,2,2,5,"e4,e5"
102,1f5fb598-5322-41fb-a7f3-eac851e34f17,40,20,Matthai,Bxd4,g7d4,g7,d4,B,Black,2r1r1k1/pp3p1p/2p1b1p1/nP6/PBPbp2q/2Q1n3/3NBNPP/R3K2R,0,0,0,0,0,0,13,15,5,7,1,1,2,2,2,2,2,2,1,3,3,5,1,3,1,0,0,0,10,11,9,5,1,0,0,0,0,0,1,3,1,3,4,3,0,0,3,13,3,5,4,10,"b4,e5"
103,1f81eed4-2325-4d20-a569-5a445d24e46c,78,39,"MacDonnell, George",Bxh4,g3h4,g3,h4,B,Black,1r6/6k1/5p2/7p/p1B4b/2BK4/2P5/8,0,0,0,0,0,0,4,6,1,3,0,0,2,1,0,0,0,1,28,32,0,1,2,1,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,4,1,1,0,5,"e4,e5"
104,1fc5af58-4f19-487c-81c3-ce6f0cc98086,97,49,Steinitz/Potter,Rb6+,b7b6,b7,b6,R,White,N7/P7/1R4k1/8/1K4p1/8/7p/8,1,0,0,0,0,0,4,3,1,2,0,0,0,0,1,0,1,0,37,30,0,0,0,1,0,1,1,1,0,0,0,0,0,5,1,3,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,"c4,e5"
105,202a3210-d012-4612-9d9a-e73e636fb1a6,79,40,"Zukertort, Johannes",Kf4,g4f4,g4,f4,K,White,1k6/p1p5/1p6/8/2N1nK2/1P6/P7/8,0,0,0,0,0,0,4,5,2,3,0,0,0,0,1,1,0,0,33,34,0,1,1,2,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,3,0,1,2,0,"e3,f5"
106,2064796b-3092-4628-aa5a-93b13f6cdaac,117,59,"Elder, F.",Qxg7,g5g7,g5,g7,Q,White,2k2rq1/2p3QR/p2p4/2p1pP2/2P1P1P1/1P4K1/P6R/8,0,0,0,0,0,0,10,8,6,5,1,1,0,0,0,0,2,1,20,14,0,2,2,3,1,0,2,0,0,6,1,3,1,0,14,0,0,0,0,0,2,2,1,3,0,0,0,0,2,2,1,14,"e4,e5"
107,20bbad19-7622-45fa-bd4c-7dfc8253644d,45,23,"Anderssen, Adolf",Be7,c5e7,c5,e7,B,White,1k1q2rr/p2PBpb1/Bpp1b2p/4p1p1/1Q2PpnP/P7/1PP1N1P1/2KR3R,0,0,0,0,0,0,14,15,7,8,1,1,2,2,1,1,2,2,3,4,3,4,1,3,0,1,2,0,10,6,1,11,0,3,4,0,0,0,0,2,2,4,3,4,0,0,0,4,2,6,5,19,"e4,e5"
