,name,region,average_rating_standard,average_rating_rapid,average_rating_blitz,highest_rating_standard,highest_rating_rapid,highest_rating_blitz,total_players,total_players_standard,total_players_rapid,total_players_blitz,total_titles
91,Sierra Leone,Africa,1650.2857142857142,1764.3333333333333,1693.4285714285713,1964.0,1896.0,1935.0,9,7,3,7,2
92,Singapore,Asia,1552.6923076923076,1403.7704918032787,1512.186119873817,2487.0,2435.0,2458.0,831,663,549,317,76
93,Slovakia,Europe,1703.545162088592,1644.9704480457578,1765.5770423991728,2565.0,2541.0,2556.0,4251,4041,2098,967,134
94,Somalia,Africa,1779.6470588235295,1658.4285714285713,1619.5,2200.0,1956.0,1975.0,19,17,7,6,1
95,South Sudan,Africa,1941.0,1819.0,1941.3333333333333,2245.0,2032.0,2076.0,23,20,7,6,0
96,Spain,Europe,1647.1467325730744,1604.1757376395535,1683.8975125944585,2710.0,2678.0,2682.0,26777,25693,10032,6352,684
97,Suriname,Americas,1472.6050955414012,1610.139534883721,1521.3232323232323,2220.0,2008.0,2142.0,169,157,43,99,21
98,Sweden,Europe,1742.3702865761688,1699.6098786102973,1756.0746812386158,2663.0,2632.0,2651.0,4295,3978,2389,1647,209
99,Syria,Asia,1830.5346820809248,1705.2559523809523,1701.4044117647059,2375.0,2353.0,2360.0,403,346,168,136,24
100,Tajikistan,Asia,1697.9407407407407,1748.0,1755.2424242424242,2622.0,2671.0,2650.0,141,135,36,33,10
101,Thailand,Asia,1535.6601671309193,1417.1174496644296,1443.5381526104418,2282.0,2242.0,2208.0,474,359,298,249,20
102,Timor-Leste,Asia,1508.6444444444444,0.0,1523.6,1762.0,0.0,1634.0,45,45,0,5,1
103,Trinidad and Tobago,Americas,1579.8978723404255,1619.5656565656566,1618.0714285714287,2305.0,2198.0,2229.0,239,235,99,112,31
104,Tunisia,Africa,1646.59963099631,1681.8938775510203,1741.375,2405.0,2377.0,2404.0,667,542,245,312,45
105,Turkey,Asia,1429.0751267838189,1534.239604989605,1477.5760024867889,2644.0,2584.0,2564.0,9164,8479,1924,3217,202
106,Turkmenistan,Asia,1884.6478873239437,1824.0857142857142,1844.0987654320988,2532.0,2528.0,2507.0,286,284,70,81,55
107,Uganda,Africa,1681.791390728477,1783.0689655172414,1753.1102362204724,2395.0,2355.0,2335.0,325,302,87,127,21
108,Ukraine,Europe,1866.3504273504273,1654.4710731848425,1733.7291174152876,2699.0,2794.0,2804.0,9156,4563,6914,5076,563
109,United States,Americas,1891.6316967616774,1945.6091811414392,1892.3227334235453,2823.0,2829.0,2900.0,7145,6701,806,1478,804
110,Uzbekistan,Asia,1674.196656833825,1668.958742632613,1652.1882640586798,2662.0,2698.0,2693.0,1125,1017,509,409,80
111,Venezuela,Americas,1605.7192179700498,1606.3596014492753,1599.4591971768857,2427.0,2415.0,2473.0,3441,2404,2208,2267,161
112,Yemen,Asia,1876.2727272727273,1674.6363636363637,1841.0,2435.0,2424.0,2421.0,121,110,22,29,16
